ETF,Underlying,Leverage,is_yieldboost,scenario_style,Beta,Beta_n_obs,Beta_source
AAPU,AAPL,2.0,False,,1.98619,500,ols
AMUU,AMD,2.0,False,,2.007666,265,ols
AMZU,AMZN,2.0,False,,1.988558,500,ols
ASMU,ASML,2.0,False,,2.004162,50,ols
AVL,AVGO,2.0,False,,1.98656,384,ols
BOEU,BA,2.0,False,,1.995547,252,ols
BABU,BABA,2.0,False,,2.037119,49,ols
BRKU,BRK-B,2.0,False,,1.946855,341,ols
CONX,COIN,2.0,False,,2.004165,106,ols
CSCL,CSCO,2.0,False,,2.022858,209,ols
GGLL,GOOGL,2.0,False,,1.995613,500,ols
HODU,HOOD,2.0,False,,2.008478,106,ols
LINT,INTC,2.0,False,,1.998618,106,ols
ELIL,LLY,2.0,False,,1.992694,270,ols
LMTL,LMT,2.0,False,,1.998958,180,ols
METU,META,2.0,False,,1.998177,471,ols
MRVU,MRVL,2.0,False,,2.009715,49,ols
MSFU,MSFT,2.0,False,,1.992034,500,ols
MUU,MU,2.0,False,,1.993612,384,ols
NFXL,NFLX,2.0,False,,1.995501,389,ols
NVDU,NVDA,2.0,False,,1.986596,500,ols
ORCU,ORCL,2.0,False,,2.005567,106,ols
PALU,PANW,2.0,False,,2.005543,270,ols
PLTU,PLTR,2.0,False,,1.991734,341,ols
QCMU,QCOM,2.0,False,,2.007851,209,ols
SHPU,SHOP,2.0,False,,2.009526,180,ols
SOFA,SOFI,2.0,False,,1.990378,50,ols
TSLL,TSLA,2.0,False,,1.994511,500,ols
TSMX,TSM,2.0,False,,1.99764,389,ols
XOMX,XOM,2.0,False,,1.985604,252,ols
YINN,FXI,2.0,False,,2.974847,500,ols
MEXX,EWW,2.0,False,,2.956004,500,ols
KORU,EWY,2.0,False,,2.931562,500,ols
HIBL,SPHB,2.0,False,,3.006551,500,ols
LABU,XBI,2.0,False,,2.986466,500,ols
SOXL,SOXX,2.0,False,,2.963809,500,ols
CHAU,ASHR,2.0,False,,1.966468,500,ols
CWEB,KWEB,2.0,False,,1.988117,500,ols
ERX,XLE,2.0,False,,1.987902,500,ols
NUGT,GDX,2.0,False,,1.976485,500,ols
JNUG,GDXJ,2.0,False,,1.973534,500,ols
GUSH,XOP,2.0,False,,2.010246,500,ols
URAA,URA,2.0,False,,1.92425,458,ols
TQQQ,QQQ,2.0,False,,2.970757,500,ols
SPXL,SPY,2.0,False,,2.8832,500,ols
URTY,IWM,2.0,False,,2.999463,500,ols
MSTU,MSTR,2.0,False,,1.966713,400,ols
NVDX,NVDA,2.0,False,,1.996746,500,ols
TSLT,TSLA,2.0,False,,1.993112,500,ols
BTCL,IBIT,2.0,False,,2.006027,449,ols
ETU,ETHA,2.0,False,,1.989498,374,ols
CCUP,CRCL,2.0,False,,1.984743,177,ols
CRWU,CRWV,2.0,False,,1.989597,187,ols
AAPX,AAPL,2.0,False,,1.991811,500,ols
GOOX,GOOGL,2.0,False,,1.978159,500,ols
MSFX,MSFT,2.0,False,,2.007004,500,ols
NFLU,NFLX,2.0,False,,1.992157,393,ols
ROBN,HOOD,2.0,False,,2.012277,308,ols
DJTU,DJT,2.0,False,,2.003733,287,ols
RBLU,RBLX,2.0,False,,2.01893,287,ols
SNOU,SNOW,2.0,False,,2.004437,251,ols
SMUP,SMR,2.0,False,,1.982498,187,ols
GLXU,GLXY,2.0,False,,2.009519,178,ols
AFRU,AFRM,2.0,False,,1.956149,152,ols
KTUP,KTOS,2.0,False,,2.029205,152,ols
TTDU,TTD,2.0,False,,2.000355,151,ols
BMNU,BMNR,2.0,False,,1.948266,144,ols
SBTU,SBET,2.0,False,,2.022195,127,ols
CIFU,CIFR,2.0,False,,1.992406,104,ols
SOLX,GSOL,2.0,False,,1.96862,97,ols
XRPK,XRPZ,2.0,False,,1.96049,97,ols
XRPT,XRPZ,2.0,False,,2.015038,103,ols
CHNU,CHNL,2.0,False,,2.000343,16,ols_short_history
CRDX,CRDD,2.0,False,,1.983904,16,ols_short_history
STLU,STLR,2.0,False,,1.853738,16,ols_short_history
GMEU,GME,2.0,False,,1.965037,251,ols
APLX,APLD,2.0,False,,1.994769,157,ols
APPX,APP,2.0,False,,1.987214,250,ols
ARCX,ACHR,2.0,False,,1.983624,219,ols
ASTX,ASTS,2.0,False,,1.991194,198,ols
BEX,BE,2.0,False,,1.980121,110,ols
CEGX,CEG,2.0,False,,1.99058,198,ols
CLSX,CLSK,2.0,False,,1.999982,152,ols
COZX,CORZ,2.0,False,,2.037144,116,ols
CRDU,CRDO,2.0,False,,1.996078,152,ols
CSEX,CLS,2.0,False,,1.999844,110,ols
CWVX,CRWV,2.0,False,,1.989317,198,ols
DOGD,DDOG,2.0,False,,1.909707,175,ols
FLYT,FLY,2.0,False,,1.992409,125,ols
GEVX,GEV,2.0,False,,1.992072,198,ols
IREX,IREN,2.0,False,,1.982884,125,ols
JOBX,JOBY,2.0,False,,1.979133,157,ols
LABX,ALAB,2.0,False,,1.997045,176,ols
LRCU,LRCX,2.0,False,,2.037927,171,ols
NEBX,NBIS,2.0,False,,1.99765,157,ols
NVTX,NVTS,2.0,False,,2.004132,157,ols
OPEX,OPEN,2.0,False,,1.999923,125,ols
PONX,PONY,2.0,False,,2.007831,157,ols
QBTX,QBTS,2.0,False,,1.992124,250,ols
QUBX,QUBT,2.0,False,,1.967453,210,ols
RGTU,RGTI,2.0,False,,1.989106,210,ols
SMU,SMR,2.0,False,,1.982998,198,ols
SNPX,SNPS,2.0,False,,1.577177,111,ols
SRPU,SRPT,2.0,False,,1.965295,125,ols
TARK,ARKK,2.0,False,,1.979012,500,ols
TEMT,TEM,2.0,False,,1.985136,238,ols
UNX,U,2.0,False,,2.028525,152,ols
UPSX,UPST,2.0,False,,1.989551,219,ols
VOYX,VOYG,2.0,False,,1.902138,156,ols
WULX,WULF,2.0,False,,1.992493,125,ols
CRMU,CRML,2.0,False,,1.95241,51,ols
UECG,UEC,2.0,False,,1.993802,51,ols
DNNG,DNN,2.0,False,,1.984065,51,ols
RCAX,RCAT,2.0,False,,2.002839,56,ols
RDWU,RDW,2.0,False,,1.98493,58,ols
OKLL,OKLO,2.0,False,,1.997997,210,ols
GDXU,GDX,2.0,False,,3.041394,500,ols
MRNX,MRNA,2.0,False,,2.005529,55,ols
ZETX,ZETA,2.0,False,,2.03419,55,ols
LITX,LITE,2.0,False,,1.981569,61,ols
SNXX,SNDK,2.0,False,,1.994063,61,ols
WDCX,WDC,2.0,False,,2.042202,61,ols
LNOK,NOK,2.0,False,,1.985209,65,ols
USGG,USAR,2.0,False,,1.996472,70,ols
ONDG,ONDS,2.0,False,,2.00395,70,ols
PLUL,PLUG,2.0,False,,1.951154,70,ols
ALBG,ALB,2.0,False,,1.994712,70,ols
UUUG,UUUU,2.0,False,,1.995406,70,ols
HUTG,HUT,2.0,False,,1.999629,70,ols
XPEG,XPEV,2.0,False,,1.997978,68,ols
ORLG,ORLY,2.0,False,,2.003526,68,ols
LUNL,LUNR,2.0,False,,1.986135,70,ols
RKTL,RKT,2.0,False,,1.971562,70,ols
EOSU,EOSE,2.0,False,,1.970904,69,ols
BTFL,KEEL,2.0,False,,2.04528,79,ols
FGRU,FIGR,2.0,False,,1.992661,46,ols
APHU,APH,2.0,False,,2.002768,46,ols
COPZ,COPX,2.0,False,,2.016224,46,ols
LEUX,LEU,2.0,False,,2.026294,45,ols
COHX,COHR,2.0,False,,2.050777,45,ols
AXPG,AXP,2.0,False,,2.021083,45,ols
FCXG,FCX,2.0,False,,2.012279,45,ols
GLWG,GLW,2.0,False,,1.989307,32,ols
SNDU,SNDK,2.0,False,,2.005536,30,ols
PAAU,PAAS,2.0,False,,1.941216,30,ols
BITX,IBIT,2.0,False,,2.003503,500,ols
ETHU,ETHA,2.0,False,,2.000719,440,ols
XXRP,XRPZ,2.0,False,,2.021526,103,ols
ONDL,ONDS,2.0,False,,1.951109,79,ols
MSTX,MSTR,2.0,False,,1.953747,423,ols
SMCX,SMCI,2.0,False,,1.843802,419,ols
ORCX,ORCL,2.0,False,,1.982495,303,ols
IONX,IONQ,2.0,False,,1.98819,281,ols
HIMZ,HIMS,2.0,False,,1.998487,280,ols
IRE,IREN,2.0,False,,1.989975,127,ols
AVGX,AVGO,2.0,False,,1.978106,418,ols
RKLX,RKLB,2.0,False,,1.995487,280,ols
RGTX,RGTI,2.0,False,,1.991994,267,ols
SOFX,SOFI,2.0,False,,1.994644,318,ols
NVOX,NVO,2.0,False,,1.994468,347,ols
LLYX,LLY,2.0,False,,1.992188,428,ols
SOUX,SOUN,2.0,False,,2.000363,210,ols
QPUX,IONQ,2.0,False,,1.785089,179,ols
HOOX,HOOD,2.0,False,,1.99946,276,ols
RIOX,RIOT,2.0,False,,2.000048,326,ols
QSU,QS,2.0,False,,1.991051,127,ols
MPL,MP,2.0,False,,1.991508,127,ols
OSCX,OSCR,2.0,False,,2.010297,145,ols
DKNX,DKNG,2.0,False,,1.993107,184,ols
ANEL,ANET,2.0,False,,1.993016,160,ols
VSTL,VST,2.0,False,,1.97963,191,ols
CVNX,CVNA,2.0,False,,1.987278,227,ols
LMNX,LMND,2.0,False,,2.016637,130,ols
AVXX,AVAV,2.0,False,,1.996954,124,ols
BU,B,2.0,False,,2.021006,106,ols
PLU,PL,2.0,False,,2.010191,74,ols
ADBU,ADBE,2.0,False,,1.995467,21,ols_short_history
PYPU,PYPL,2.0,False,,2.005055,21,ols_short_history
TXNU,TXN,2.0,False,,1.985543,21,ols_short_history
UNHU,UNH,2.0,False,,1.94725,21,ols_short_history
AAOX,AAOI,2.0,False,,1.979183,22,ols_short_history
HLXX,HL,2.0,False,,1.993952,22,ols_short_history
IBX,IBM,2.0,False,,1.915549,22,ols_short_history
AXTX,AXT,2.0,False,,2.0,0,imputed_missing_prices
CPNX,CPNG,2.0,False,,2.0,0,imputed_no_overlap
MPWX,MPWR,2.0,False,,2.0,0,imputed_no_overlap
STXX,STX,2.0,False,,2.0,0,imputed_no_overlap
AALG,AAL,2.0,False,,1.988901,198,ols
ABNG,ABNB,2.0,False,,1.989358,108,ols
ADBG,ADBE,2.0,False,,1.987877,274,ols
AMDG,AMD,2.0,False,,2.003799,313,ols
ARMG,ARM,2.0,False,,1.995666,320,ols
ASMG,ASML,2.0,False,,1.985465,320,ols
AVGG,AVGO,2.0,False,,1.998805,235,ols
BAIG,BBAI,2.0,False,,2.002017,169,ols
BEG,BE,2.0,False,,1.987145,88,ols
BIDG,BIDU,2.0,False,,2.013454,86,ols
BLSG,BLSH,2.0,False,,2.017557,123,ols
BMNG,BMNR,2.0,False,,1.990999,123,ols
BOEG,BA,2.0,False,,1.992934,216,ols
BULG,BULL,2.0,False,,1.975049,177,ols
CIFG,CIFR,2.0,False,,1.989363,91,ols
CMGG,CMG,2.0,False,,1.975703,108,ols
CNCG,CNC,2.0,False,,2.009576,86,ols
COIG,COIN,2.0,False,,1.996428,278,ols
COTG,COST,2.0,False,,1.987835,150,ols
CRCG,CRCL,2.0,False,,1.9905,177,ols
CRMG,CRM,2.0,False,,1.9833,264,ols
CRWG,CRWV,2.0,False,,1.997252,177,ols
DUOG,DUOL,2.0,False,,2.021049,91,ols
FIGG,FIG,2.0,False,,2.002454,132,ols
FUTG,FUTU,2.0,False,,1.999549,132,ols
GEMG,GEMI,2.0,False,,1.961221,116,ols
GEVG,GEV,2.0,False,,1.971063,88,ols
GLGG,GLXY,2.0,False,,1.999056,169,ols
GRAG,GRAB,2.0,False,,1.978027,91,ols
HOOG,HOOD,2.0,False,,2.006138,274,ols
IREG,IREN,2.0,False,,1.970581,88,ols
KLAG,KLAC,2.0,False,,2.002911,86,ols
LACG,LAC,2.0,False,,2.003082,91,ols
LULG,LULU,2.0,False,,1.989173,116,ols
MPG,MP,2.0,False,,1.989252,123,ols
NBIG,NBIS,2.0,False,,2.008985,123,ols
NEMG,NEM,2.0,False,,1.98708,108,ols
NETG,NET,2.0,False,,2.001795,108,ols
NIOG,NIO,2.0,False,,1.964024,86,ols
NUG,NU,2.0,False,,1.984117,108,ols
NVDG,NVDA,2.0,False,,1.969445,339,ols
OKTG,OKTA,2.0,False,,1.997734,108,ols
OPEG,OPEN,2.0,False,,2.007861,91,ols
OSCG,OSCR,2.0,False,,1.991025,116,ols
PANG,PANW,2.0,False,,1.997631,274,ols
PBRG,PBR,2.0,False,,1.943328,86,ols
PLTG,PLTR,2.0,False,,1.992984,250,ols
PYPG,PYPL,2.0,False,,1.99478,264,ols
RTXG,RTX,2.0,False,,2.01518,221,ols
SATG,SATS,2.0,False,,1.993176,88,ols
SBU,SBUX,2.0,False,,1.999653,108,ols
SNAG,SNAP,2.0,False,,1.984035,86,ols
SPOG,SPOT,2.0,False,,1.97164,108,ols
TERG,TER,2.0,False,,1.994601,108,ols
TSLG,TSLA,2.0,False,,1.992041,339,ols
TSMG,TSM,2.0,False,,1.986463,320,ols
UNHG,UNH,2.0,False,,1.99533,191,ols
UPSG,UPS,2.0,False,,1.981439,91,ols
VALG,VALE,2.0,False,,1.979936,86,ols
XYZG,XYZ,2.0,False,,1.99921,264,ols
COIO,COIN,2.0,False,,0.930437,175,ols
MSOO,MSTR,2.0,False,,0.912252,175,ols
NVDO,NVDA,2.0,False,,0.910158,175,ols
PLOO,PLTR,2.0,False,,0.907447,175,ols
TSLO,TSLA,2.0,False,,0.856922,175,ols
CRCA,CRCL,2.0,False,,1.979874,179,ols
NVDB,NVDA,2.0,False,,1.995309,156,ols
PLTA,PLTR,2.0,False,,1.992447,156,ols
TSLI,TSLA,2.0,False,,1.984554,156,ols
COIA,COIN,2.0,False,,2.004574,156,ols
BITU,IBIT,2.0,False,,1.992208,500,ols
ETHT,ETHA,2.0,False,,1.991473,440,ols
UXRP,XRPZ,2.0,False,,2.00031,103,ols
SOLT,SOEZ,2.0,False,,2.018596,97,ols
TSLR,TSLA,2.0,False,,1.999283,500,ols
AAPB,AAPL,2.0,False,,1.990207,500,ols
AMDL,AMD,2.0,False,,1.99812,500,ols
AMZZ,AMZN,2.0,False,,1.991274,500,ols
AVGU,AVGO,2.0,False,,1.993235,196,ols
BABX,BABA,2.0,False,,2.00653,500,ols
BULX,BULL,2.0,False,,1.98018,161,ols
CONL,COIN,2.0,False,,1.987733,500,ols
CRWL,CRWD,2.0,False,,1.996822,361,ols
DLLL,DELL,2.0,False,,1.986063,298,ols
ETRL,ETOR,2.0,False,,1.997109,161,ols
GOU,GOOGL,2.0,False,,2.012389,98,ols
INTW,INTC,2.0,False,,1.987563,299,ols
IONL,IONQ,2.0,False,,1.986927,271,ols
ISUL,ISRG,2.0,False,,1.998636,137,ols
LCDL,LCID,2.0,False,,1.958084,253,ols
MRAL,MARA,2.0,False,,1.978461,284,ols
FBL,META,2.0,False,,1.994762,500,ols
MVLL,MRVL,2.0,False,,1.993952,284,ols
MSFL,MSFT,2.0,False,,1.99191,500,ols
MSTP,MSTR,2.0,False,,1.997126,219,ols
MULL,MU,2.0,False,,1.99895,361,ols
NBIL,NBIS,2.0,False,,1.997855,137,ols
NOWL,NOW,2.0,False,,1.992681,196,ols
NVDL,NVDA,2.0,False,,1.987598,500,ols
PDDL,PDD,2.0,False,,2.002896,196,ols
PTIR,PLTR,2.0,False,,1.996459,410,ols
QCML,QCOM,2.0,False,,1.980209,265,ols
RDTL,RDDT,2.0,False,,1.981144,272,ols
RVNL,RIVN,2.0,False,,1.985726,253,ols
SMCL,SMCI,2.0,False,,1.771946,339,ols
TSMU,TSM,2.0,False,,1.993523,361,ols
UBRL,UBER,2.0,False,,1.997791,410,ols
VRTL,VRT,2.0,False,,1.979728,272,ols
QYLD,QQQ,1.0,False,,0.623075,500,ols
QYLG,QQQ,1.0,False,,0.797992,500,ols
QQQX,QQQ,1.0,False,,0.7812,500,ols
JEPQ,QQQ,1.0,False,,0.762071,500,ols
XYLD,SPY,1.0,False,,0.642209,500,ols
XYLG,SPY,1.0,False,,0.816419,500,ols
JEPI,SPY,1.0,False,,0.59312,500,ols
SPYI,SPY,1.0,False,,0.824784,500,ols
RYLD,IWM,1.0,False,,0.573919,500,ols
AMYY,AMD,1.0,True,income_style,0.293514,152,ols
AZYY,AMZN,1.0,True,income_style,0.598708,152,ols
BBYY,BABA,1.0,True,income_style,0.579021,126,ols
COYY,COIN,1.0,True,income_style,0.4657,186,ols
CWY,CRWV,1.0,True,income_style,0.354227,7,ols_short_history
HMYY,HIMS,1.0,True,income_style,0.258559,98,ols
HOYY,HOOD,1.0,True,income_style,0.478246,142,ols
IOYY,IONQ,1.0,True,income_style,0.305433,117,ols
MAAY,MARA,1.0,True,income_style,0.308217,117,ols
FBYY,META,1.0,True,income_style,0.563732,126,ols
MTYY,MSTR,1.0,True,income_style,0.373802,147,ols
MUYY,MU,1.0,True,income_style,0.228024,8,ols_short_history
NUGY,GDX,1.0,True,income_style,0.486347,107,ols
NVYY,NVDA,1.0,True,income_style,0.644155,238,ols
PLYY,PLTR,1.0,True,income_style,0.528085,147,ols
QBY,QBTS,1.0,True,income_style,0.251155,99,ols
RGYY,RGTI,1.0,True,income_style,0.302783,102,ols
RTYY,RIOT,1.0,True,income_style,0.335461,98,ols
SEMY,SOXX,1.0,True,income_style,0.651317,107,ols
SMYY,SMCI,1.0,True,income_style,0.337044,142,ols
TMYY,TSM,1.0,True,income_style,0.275717,8,ols_short_history
TQQY,QQQ,1.0,True,income_style,0.864371,291,ols
TSYY,TSLA,1.0,True,income_style,0.533989,336,ols
XBTY,IBIT,1.0,True,income_style,0.539171,238,ols
YSPY,SPY,1.0,True,income_style,0.836905,265,ols
AAPW,AAPL,1.0,False,,1.103995,295,ols
AMDW,AMD,1.0,False,,1.198653,189,ols
AMZW,AMZN,1.0,False,,1.208915,213,ols
ARMW,ARM,1.0,False,,1.199287,125,ols
AVGW,AVGO,1.0,False,,1.198326,189,ols
BABW,BABA,1.0,False,,1.227354,125,ols
BRKW,BRK-B,1.0,False,,1.18246,213,ols
COIW,COIN,1.0,False,,1.216789,296,ols
COSW,COST,1.0,False,,1.231913,125,ols
GOOW,GOOGL,1.0,False,,1.229584,189,ols
HOOW,HOOD,1.0,False,,1.208101,213,ols
METW,META,1.0,False,,1.189397,213,ols
MSFW,MSFT,1.0,False,,1.212973,189,ols
MSTW,MSTR,1.0,False,,1.212622,189,ols
NFLW,NFLX,1.0,False,,1.190858,213,ols
NVDW,NVDA,1.0,False,,1.200466,296,ols
PLTW,PLTR,1.0,False,,1.195595,296,ols
TSLW,TSLA,1.0,False,,1.197565,296,ols
UBEW,UBER,1.0,False,,1.224758,125,ols
UNHW,UNH,1.0,False,,1.197384,97,ols
TSYW,TLT,1.0,False,,1.149765,110,ols
GLDW,GOLD,1.0,False,,0.338184,120,ols
GDXW,GDX,1.0,False,,1.200345,120,ols
TOPW,TOP,1.0,False,,0.033278,160,ols
SDS,SPY,-2.0,False,,-1.935606,500,ols
QID,QQQ,-2.0,False,,-1.992674,500,ols
DXD,DIA,-2.0,False,,-1.989231,500,ols
TWM,IWM,-2.0,False,,-2.003401,500,ols
SCO,USO,-2.0,False,,-1.339667,500,ols
MSTZ,MSTR,-2.0,False,,-1.982552,400,ols
NVDQ,NVDA,-2.0,False,,-1.991838,500,ols
BTCZ,IBIT,-2.0,False,,-1.992099,449,ols
CONI,COIN,-2.0,False,,-1.503785,410,ols
MSDD,MSTR,-2.0,False,,-2.000171,219,ols
NVD,NVDA,-2.0,False,,-1.992809,500,ols
TSDD,TSLA,-2.0,False,,-1.993204,500,ols
ETHD,ETHA,-2.0,False,,-1.981418,440,ols
CRCD,CRCL,-2.0,False,,-2.009102,144,ols
CORD,CRWV,-2.0,False,,-2.006098,144,ols
TSLQ,TSLA,-2.0,False,,-1.896661,500,ols
ZSL,SLV,-2.0,False,,-2.02345,500,ols
SQQQ,QQQ,-3.0,False,,-2.976473,500,ols
SPXS,SPY,-3.0,False,,-2.901882,500,ols
TZA,IWM,-3.0,False,,-2.990621,500,ols
SOXS,SOXX,-3.0,False,,-2.990707,500,ols
FAZ,XLF,-3.0,False,,-3.000587,500,ols
LABD,XBI,-3.0,False,,-2.988893,500,ols
TECS,XLK,-3.0,False,,-2.965186,500,ols
SDOW,DIA,-3.0,False,,-2.987496,500,ols
DUST,GDX,-3.0,False,,-1.984956,500,ols
WEBS,XLK,-3.0,False,,-2.237722,500,ols
FNGD,XLK,-3.0,False,,-2.820478,500,ols
REW,XLK,-2.0,False,,-1.998668,500,ols
SKF,XLF,-2.0,False,,-2.004364,500,ols
SPXU,SPY,-3.0,False,,-2.895189,500,ols
DUG,XLE,-2.0,False,,-1.97721,500,ols
DRIP,XOP,-2.0,False,,-1.998735,500,ols
TMV,TLT,-3.0,False,,-2.965864,500,ols
TBT,TLT,-2.0,False,,-1.981638,500,ols
TBX,TLT,-2.0,False,,-0.422471,500,ols
NVDS,NVDA,-1.5,False,,-1.463646,500,ols
EWV,EWJ,-2.0,False,,-1.973792,500,ols
APLZ,APLD,-2.0,False,,-1.987204,64,ols
AMZO,AMZN,-2.0,False,,-1.9651,22,ols_short_history
BEZ,BE,-2.0,False,,-1.982257,50,ols
NBIZ,NBIS,-2.0,False,,-1.988348,64,ols
SMZ,SMR,-2.0,False,,-1.987054,50,ols
QBTZ,QBTS,-2.0,False,,-1.999031,137,ols
IONZ,IONQ,-2.0,False,,-1.985274,210,ols
HIBS,SPHB,-3.0,False,,-3.015696,500,ols
CLSZ,CLSK,-2.0,False,,-2.029592,45,ols
IREZ,IREN,-2.0,False,,-2.009007,64,ols
RGTZ,RGTI,-2.0,False,,-1.75033,135,ols
PLTZ,PLTR,-2.0,False,,-1.996669,221,ols
SMST,MSTR,-2.0,False,,-1.629699,419,ols
SMCZ,SMCI,-2.0,False,,-1.988293,267,ols
BMNZ,BMNR,-2.0,False,,-1.965766,110,ols
HOOZ,HOOD,-2.0,False,,-2.009246,110,ols
DAMD,AMD,-2.0,False,,-2.007913,109,ols
RKLZ,RKLB,-2.0,False,,-1.998054,107,ols
STSM,TSM,-2.0,False,,-1.985912,107,ols
OKLS,OKLO,-2.0,False,,-2.0038,101,ols
ASTN,ASTS,-2.0,False,,-1.904012,53,ols
LITZ,LITE,-2.0,False,,-2.0,0,imputed_no_overlap
SNDQ,SNDK,-2.0,False,,-2.0,0,imputed_no_overlap
UVIX,SVIX,-2.0,False,,-2.046789,500,ols
