Underlying,ETF,Leverage
AAL,AALG,2.0
AAPL,AAPB,2.0
AAPL,AAPU,2.0
AAPL,AAPW,1.0
AAPL,AAPX,2.0
AAPL,APLY,1.0
ABNB,ABNG,2.0
ABNB,ABNY,1.0
ACHR,ARCX,2.0
ADBE,ADBG,2.0
AFRM,AFRU,2.0
AI,AIYY,1.0
ALAB,LABX,2.0
AMD,AMDG,2.0
AMD,AMDL,2.0
AMD,AMDW,1.0
AMD,AMDY,1.0
AMD,AMUU,2.0
AMD,AMYY,2.0
AMZN,AMZU,2.0
AMZN,AMZW,1.0
AMZN,AMZY,1.0
AMZN,AMZZ,2.0
AMZN,AZYY,2.0
APLD,APLX,2.0
APP,APPX,2.0
ARKK,TARK,2.0
ARM,ARMG,2.0
ARM,ARMU,2.0
ARM,ARMW,1.0
ASML,ASMG,2.0
ASTS,ASTX,2.0
AUR,AURU,2.0
AVGO,AVGG,2.0
AVGO,AVGU,2.0
AVGO,AVGW,1.0
AVGO,AVL,2.0
AXON,AXUP,2.0
BA,BOEG,2.0
BA,BOEU,2.0
BABA,BABO,1.0
BABA,BABW,1.0
BABA,BABX,2.0
BABA,BBYY,2.0
BBAI,BAIG,2.0
BE,BEG,2.0
BE,BEX,2.0
BIDU,BIDG,2.0
BKNG,BKNU,2.0
BLSH,BLSG,2.0
BLSH,BLSX,2.0
BMNR,BMNG,2.0
BMNR,BMNU,2.0
BRK-B,BRKC,1.0
BRK-B,BRKU,2.0
BRKB,BRKW,1.0
BULL,BULG,2.0
BULL,BULU,2.0
BULL,BULX,2.0
CEG,CEGX,2.0
CELH,CELT,2.0
CIFR,CIFG,2.0
CIFR,CIFU,2.0
CLS,CSEX,2.0
CLSK,CLSX,2.0
CMG,CMGG,2.0
CNC,CNCG,2.0
COIN,COIA,2.0
COIN,COIG,2.0
COIN,COIO,2.0
COIN,COIW,1.0
COIN,CONL,2.0
COIN,CONY,1.0
COIN,COYY,2.0
CORZ,COZX,2.0
COST,COSW,1.0
COST,COTG,2.0
CRCL,CCUP,2.0
CRCL,CRCA,2.0
CRCL,CRCG,2.0
CRCL,CRCO,1.0
CRDO,CRDU,2.0
CRM,CRMG,2.0
CRWD,CRWL,2.0
CRWV,CRWG,2.0
CRWV,CRWU,2.0
CRWV,CWVX,2.0
CSCO,CSCL,2.0
CVNA,CVNY,1.0
DASH,DASX,2.0
DDOG,DOGD,2.0
DELL,DLLL,2.0
DIS,DISO,1.0
DJT,DJTU,2.0
DKNG,DKUP,2.0
DKNG,DRAY,1.0
DUOL,DUOG,2.0
ENPH,ENPX,2.0
ETHA,ETHT,2.0
ETHA,ETHU,2.0
ETHA,ETU,2.0
ETOR,ETRL,2.0
F,FRDU,2.0
FIG,FIGG,2.0
FLY,FLYT,2.0
FUTU,FUTG,2.0
GDX,GDXW,1.0
GDX,NUGY,2.0
GEMI,GEMG,2.0
GEV,GEVG,2.0
GEV,GEVX,2.0
GLXY,GLGG,2.0
GLXY,GLXU,2.0
GME,GMEU,2.0
GME,GMEY,1.0
GOLD,GLDW,1.0
GOOGL,GGLL,2.0
GOOGL,GOOW,1.0
GOOGL,GOOX,2.0
GOOGL,GOOY,1.0
GOOGL,GOU,2.0
GRAB,GRAG,2.0
GS,GSX,2.0
GSOL,SOLX,2.0
GXRP,XRPK,2.0
GXRP,XXRP,2.0
HIMS,HIYY,1.0
HIMS,HMYY,2.0
HOOD,HOOG,2.0
HOOD,HOOW,1.0
HOOD,HOOY,1.0
HOOD,HOYY,2.0
HOOD,ROBN,2.0
IBIT,BITU,2.0
IBIT,BITX,2.0
IBIT,BTCL,2.0
IBIT,XBTY,2.0
INTC,INTW,2.0
IONQ,IONL,2.0
IONQ,IOYY,2.0
IREN,IREG,2.0
IREN,IREX,2.0
ISRG,ISUL,2.0
IWM,RYLD,1.0
JOBY,JOBX,2.0
JPM,JPMO,1.0
KLAC,KLAG,2.0
KTOS,KTUP,2.0
LAC,LACG,2.0
LCID,LCDL,2.0
LLY,ELIL,2.0
LMT,LMTL,2.0
LRCX,LRCU,2.0
LULU,LULG,2.0
LYFT,LYFX,2.0
MARA,MAAY,2.0
MARA,MARO,1.0
MARA,MRAL,2.0
MDB,MDBX,2.0
META,FBL,2.0
META,FBY,1.0
META,FBYY,2.0
META,METU,2.0
META,METW,1.0
MP,MPG,2.0
MRNA,MRNY,1.0
MRVL,MVLL,2.0
MSFT,MSFL,2.0
MSFT,MSFO,1.0
MSFT,MSFU,2.0
MSFT,MSFW,1.0
MSFT,MSFX,2.0
MSTR,MSOO,2.0
MSTR,MSTP,2.0
MSTR,MSTU,2.0
MSTR,MSTW,1.0
MSTR,MSTX,2.0
MSTR,MSTY,1.0
MSTR,MTYY,2.0
MU,MULL,2.0
MU,MUU,2.0
NBIS,NBIG,2.0
NBIS,NBIL,2.0
NBIS,NEBX,2.0
NEM,NEMG,2.0
NEM,NWMX,2.0
NET,NETG,2.0
NET,NETX,2.0
NFLX,NFLU,2.0
NFLX,NFLW,1.0
NFLX,NFLY,1.0
NFLX,NFXL,2.0
NIO,NIOG,2.0
NNE,NNEX,2.0
NOW,NOWL,2.0
NU,NUG,2.0
NVDA,NVDB,2.0
NVDA,NVDG,2.0
NVDA,NVDL,2.0
NVDA,NVDO,2.0
NVDA,NVDU,2.0
NVDA,NVDW,1.0
NVDA,NVDX,2.0
NVDA,NVDY,1.0
NVDA,NVYY,2.0
NVTS,NVTX,2.0
OKTA,OKTG,2.0
OKTA,OKTX,2.0
OPEN,OPEG,2.0
OPEN,OPEX,2.0
OSCR,OSCG,2.0
PANW,PALU,2.0
PANW,PANG,2.0
PBR,PBRG,2.0
PDD,PDDL,2.0
PLTR,PLOO,2.0
PLTR,PLTA,2.0
PLTR,PLTG,2.0
PLTR,PLTU,2.0
PLTR,PLTW,1.0
PLTR,PLTY,1.0
PLTR,PLYY,2.0
PLTR,PTIR,2.0
PONY,PONX,2.0
PYPL,PYPG,2.0
PYPL,PYPY,1.0
QBTS,QBTX,2.0
QBTS,QBY,2.0
QCOM,QCML,2.0
QCOM,QCMU,2.0
QQQ,JEPQ,1.0
QQQ,QQQX,1.0
QQQ,QYLD,1.0
QQQ,QYLG,1.0
QQQ,TQQY,2.0
QS,QSX,2.0
QUBT,QUBX,2.0
RBLX,RBLU,2.0
RBLX,RBLY,1.0
RDDT,RDTL,2.0
RDDT,RDYY,1.0
RGTI,RGTU,2.0
RGTI,RGYY,2.0
RIOT,RTYY,2.0
RIVN,RVNL,2.0
RTX,RTXG,2.0
SATS,SATG,2.0
SBT,SBTU,2.0
SBUX,SBU,2.0
SHOP,SHPU,2.0
SMCI,SMCL,2.0
SMCI,SMCY,1.0
SMCI,SMYY,2.0
SMR,SMU,2.0
SMR,SMUP,2.0
SNAP,SNAG,2.0
SNOW,SNOU,2.0
SNOW,SNOY,1.0
SNPS,SNPX,2.0
SOEZ,SOLT,2.0
SOXX,SEMY,2.0
SPOT,SPOG,2.0
SPY,IWML,2.0
SPY,JEPI,1.0
SPY,SPYI,1.0
SPY,XYLD,1.0
SPY,XYLG,1.0
SPY,YSPY,2.0
SRPT,SRPU,2.0
TEM,TEMT,2.0
TER,TERG,2.0
TSLA,TSLG,2.0
TSLA,TSLI,2.0
TSLA,TSLL,2.0
TSLA,TSLO,2.0
TSLA,TSLR,2.0
TSLA,TSLT,2.0
TSLA,TSLW,1.0
TSLA,TSLY,1.0
TSLA,TSYY,2.0
TSM,TSMG,2.0
TSM,TSMU,2.0
TSM,TSMX,2.0
TSM,TSMY,1.0
TSY,TSYW,1.0
TTD,TTDU,2.0
U,UNX,2.0
UBER,UBEW,1.0
UBER,UBRL,2.0
UNH,UNHG,2.0
UNH,UNHW,1.0
UPS,UPSG,2.0
UPST,UPSX,2.0
UPXI,PXIU,2.0
VALE,VALG,2.0
VOYG,VOYX,2.0
VRT,VRTL,2.0
WULF,WULX,2.0
XOM,XOMO,1.0
XOM,XOMX,2.0
XRP,UXRP,2.0
XYZ,XYZG,2.0
XYZ,XYZY,1.0
